UserID	movieID	tagID
thedarknine	35202363	1
thedarknine	35202363	5
thedarknine	35202363	6
thedarknine	35241052	1
thedarknine	35241052	2
thedarknine	35200310	1
thedarknine	35200310	22
2265138	35774719	4
2265138	35774719	5
2265138	35774719	10
2265138	30472643	1
2265138	30472643	8
2265138	30472643	11
vividtime	30300279	1
vividtime	30300279	10
vividtime	30279170	10
vividtime	30279170	17
vividtime	30279170	23
vividtime	34888057	1
vividtime	34888057	10
vividtime	30137576	10
vividtime	20276229	3
vividtime	20276229	5
vividtime	20276229	14
nikki7	27601500	4
nikki7	27601500	10
nikki7	35183025	2
nikki7	35200310	1
nikki7	35200310	22
PandaMovieMusic	35083986	1
PandaMovieMusic	35083986	3
PandaMovieMusic	35083986	11
PandaMovieMusic	35015968	10
PandaMovieMusic	35015968	19
PandaMovieMusic	35688370	2
PandaMovieMusic	35688370	3
PandaMovieMusic	35688370	10
PandaMovieMusic	35608160	1
PandaMovieMusic	35608160	8
PandaMovieMusic	35206186	1
PandaMovieMusic	35206186	6
PandaMovieMusic	35511448	1
PandaMovieMusic	35511448	10
PandaMovieMusic	35511448	19
glim	35688370	2
glim	35688370	3
glim	35688370	10
glim	35303842	1
glim	35303842	3
glim	35303842	14
glim	35384289	1
glim	35384289	6
glim	35206186	1
glim	35206186	6
glim	34881711	1
glim	35312401	2
glim	35312401	11
glim	35477218	4
glim	35477218	5
alacrity516	35456459	1
alacrity516	26825482	12
alacrity516	26825482	21
alacrity516	30337388	2
alacrity516	30337388	3
alacrity516	30337388	12
alacrity516	34881711	3
alacrity516	30394797	11
alacrity516	30394797	14
69475039	35774719	4
69475039	35774719	5
69475039	35774719	10
69475039	35250237	3
69475039	35250237	4
69475039	30481476	10
69475039	30481476	17
69475039	35441371	1
69475039	35441371	2
69475039	34906716	1
69475039	34906716	9
69475039	34906716	10
69475039	35384289	1
69475039	35384289	6
69475039	35312401	1
69475039	35312401	11
69475039	34981939	5
69475039	35293160	1
69475039	35293160	5
qijiuzhiyue	6424756	3
qijiuzhiyue	6424756	7
qijiuzhiyue	6424756	10
qijiuzhiyue	35083986	3
qijiuzhiyue	35083986	10
qijiuzhiyue	35083986	12
qijiuzhiyue	3001114	10
qijiuzhiyue	3001114	12
qijiuzhiyue	3001114	14
qijiuzhiyue	26933210	3
qijiuzhiyue	26933210	12
qijiuzhiyue	26933210	14
qijiuzhiyue	30382416	2
qijiuzhiyue	30382416	5
qijiuzhiyue	30382416	12
qijiuzhiyue	30223888	3
qijiuzhiyue	30223888	11
qijiuzhiyue	30223888	12
qijiuzhiyue	27601500	4
qijiuzhiyue	27601500	10
qijiuzhiyue	26741632	1
qijiuzhiyue	26741632	3
qijiuzhiyue	26741632	12
qijiuzhiyue	35202363	1
qijiuzhiyue	35202363	5
qijiuzhiyue	35202363	6
qijiuzhiyue	35214924	1
3540441	27199850	10
3540441	26933210	3
3540441	26933210	12
3540441	26933210	14
3540441	26825482	12
3540441	26825482	21
3540441	34884712	1
3540441	34884712	12
3540441	27605105	4
3540441	27605105	7
3540441	27605105	10
3540441	3078409	4
3540441	3078409	10
3540441	35123985	1
3540441	30337388	1
3540441	30337388	3
3540441	30337388	11
3540441	33437580	1
3540441	33437580	8
3540441	33437580	12
3540441	33437580	14
3540441	26820621	1
3540441	26820621	4
3540441	26820621	10
3540441	26820621	23
